
2024/07/09 (18:23:27) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (18:23:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (18:23:27) | DEBUG: Shared::init() : Initialized.
2024/07/09 (18:33:19) | DEBUG: Writing new config file
2024/07/09 (18:33:19) | INFO: Quitting! Runtime: 00:09:52

2024/07/09 (18:33:26) | ===> btop++ v.1.3.2
2024/07/09 (18:33:26) | INFO: Logger set to DEBUG
2024/07/09 (18:33:26) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (18:33:26) | INFO: Running on /dev/pts/1
2024/07/09 (18:33:27) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (18:33:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (18:33:27) | DEBUG: Shared::init() : Initialized.
2024/07/09 (19:12:26) | DEBUG: Writing new config file
2024/07/09 (19:12:26) | INFO: Quitting! Runtime: 00:39:00

2024/07/09 (19:15:21) | ===> btop++ v.1.3.2
2024/07/09 (19:15:21) | INFO: Logger set to DEBUG
2024/07/09 (19:15:21) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (19:15:21) | INFO: Running on /dev/pts/1
2024/07/09 (19:15:21) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (19:15:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (19:15:21) | DEBUG: Shared::init() : Initialized.
2024/07/09 (19:15:45) | INFO: Quitting! Runtime: 00:00:24

2024/07/09 (19:44:46) | ===> btop++ v.1.3.2
2024/07/09 (19:44:46) | INFO: Logger set to DEBUG
2024/07/09 (19:44:46) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (19:44:46) | INFO: Running on /dev/pts/0
2024/07/09 (19:44:46) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (19:44:46) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (19:44:46) | DEBUG: Shared::init() : Initialized.
2024/07/09 (19:44:51) | INFO: Quitting! Runtime: 00:00:05

2024/07/09 (19:44:53) | ===> btop++ v.1.3.2
2024/07/09 (19:44:53) | INFO: Logger set to DEBUG
2024/07/09 (19:44:53) | DEBUG: Using locale en_US.UTF-8
2024/07/09 (19:44:53) | INFO: Running on /dev/pts/0
2024/07/09 (19:44:53) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/09 (19:44:53) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/09 (19:44:53) | DEBUG: Shared::init() : Initialized.
